review_id,rating,review_date_utc,review_text,review_title,app_version,collected_date,period_bucket,source_url,sample_group,selection_order
12485415934,1,2025-03-30T22:43:31-07:00,"문토 채팅 외 타 채팅 서비스 이용 신고확인 및 벌점 2점 부과"" 문자로 안내를 받았는데 문토 채팅 내에서 오픈채팅을 언급한 게 이유인 것 같네요. 클럽 멤버는 나 포함 두 명뿐이고 상대방은 이미 오픈채팅에 들어왔으니 신고했을 리가 없고요. 문토 측에서 유저들 채팅 데이터 멋대로 모니터링하고 있는 건가요?
솔직히 타 플랫폼을 함께 쓴다고 벌점을 부과하는 건.. B2B에서도 납득하기 어려운 걸 B2C 에 이런 방식이라니.. 어질어질하네요. 경쟁 플랫폼을 견제하는 건 이해하지만 이런 방식은 사용자 경험만 해치는 일 아닌가요? 본인들 서비스가 부족하다는데, 고객 통제로 해결될 일도 아니고. 통제하고 감시할 시간에 본인들 서비스를 어떻게 더 매력적으로 잘 쓸 수 있을까에 대한 고민을 해보셨으면 좋겠네요.",채팅 감시?,5.19.4,2026-07-30,recent,https://apps.apple.com/kr/app/id1535886772,1-3점,15
12372005061,1,2025-03-01T21:40:04-07:00,지독한 신천지 ;;; 진짜 ㄱ .. ㅐ 같네요;^^,사이비 조심하세요,5.19.3,2026-07-30,recent,https://apps.apple.com/kr/app/id1535886772,1-3점,16
12260872739,1,2025-02-02T02:08:22-07:00,"장점: 사람들 많다, 모임 날마다 열림
단점: 90%가 개념, 인성 부족하고 무례한 사람들, 굉장히 상업적
결론: 탈퇴했음",몇달간 써본 후기,5.18.1,2026-07-30,recent,https://apps.apple.com/kr/app/id1535886772,1-3점,17
12084703850,1,2024-12-20T04:58:42-07:00,사교모임 파티에서는 여러이성이랑 한꺼번에 연락하고 바람피는사람 천지입니다.비추해요.,인성쓰레기들 밖에없어요,5.16.9,2026-07-30,middle,https://apps.apple.com/kr/app/id1535886772,1-3점,18
12082781625,1,2024-12-19T15:12:26-07:00,"여기 대표가 직원들에게 갑질로 서비스가 망해가던데

필터링해도 필터도 제대로안됨 

쿼리를 누가짠건지 ..ㄷㄷ",여기 망해간다던데,5.16.9,2026-07-30,middle,https://apps.apple.com/kr/app/id1535886772,1-3점,19
11936916402,1,2024-11-10T22:46:41-07:00,계속 로그아웃 되고 로그인 하려 하면 오류나는데 확인 좀 해주시죠,로그인 오류,5.16.0,2026-07-30,middle,https://apps.apple.com/kr/app/id1535886772,1-3점,20
12827053972,5,2025-06-28T04:38:28-07:00,하나밖에 못 만들어서 아쉽습니다.,클럽 모임을 두 개이상 만들고 싶은데요,6.0.2,2026-07-30,recent,https://apps.apple.com/kr/app/id1535886772,4-5점_반례,1
12655340576,4,2025-05-14T07:33:53-07:00,"카카오톡 연결이 안됩니다ㅜ
카톡에서 창이 안떠요",로그인 에러,5.20.6,2026-07-30,recent,https://apps.apple.com/kr/app/id1535886772,4-5점_반례,2
12564940538,5,2025-04-20T02:32:14-07:00,문자올때 두번씩 알람뜨는데 수정좀해주세요 무서워요 같은메시지 한개보내면 알람 두개씩 떠요 지방에서 올라와서 처음 문토해봤는데 신기하고 재밌고 취미같은 사람끼리 만날수도있어서 좋네요 ㅎㅎ,너무재밌어요...,5.20.5,2026-07-30,recent,https://apps.apple.com/kr/app/id1535886772,4-5점_반례,3
12545444556,5,2025-04-15T02:38:02-07:00,시간가는줄모르고 떠들다 갑니다 ❤️🫶,너무 재밋었어용,5.20.5,2026-07-30,recent,https://apps.apple.com/kr/app/id1535886772,4-5점_반례,4
12536922593,5,2025-04-12T20:56:03-07:00,"다른 앱처럼 생년일 표시하고, 본인 소셜 클럽을 첫 화면에서 바로 찾을 수 있게 표시해주세요, 소셜링 열릴때 참석 구성원을 볼 수 있게 표시해주세요",추천하지만 조금 개성이 필요한,5.20.5,2026-07-30,recent,https://apps.apple.com/kr/app/id1535886772,4-5점_반례,5
12513851630,5,2025-04-07T01:09:47-07:00,비용도 합리적이고 재밌었습니다,너무 즐거웠어요,5.20.2,2026-07-30,recent,https://apps.apple.com/kr/app/id1535886772,4-5점_반례,6
12210539333,5,2025-01-20T21:47:42-07:00,감사합니다.,구매내역 삭제 부탁드립니다.,5.18.0,2026-07-30,recent,https://apps.apple.com/kr/app/id1535886772,4-5점_반례,7
12178038125,4,2025-01-12T20:13:03-07:00,"유료모임 열고 정산 기다리는 중인데,,, 언제 해주죠 전에는 모임 열면 그 주 수요일에 바로 들어오던데 지금은 안 그러고 유료모임 정산 어떻게 되는지 질문하기 눌러서 확인하려는데 데이터를 키고 눌렀는데도 네트워크 불안정하다 그러네요 언제 정산되나요….",이거 정산 언제 되나요,5.17.0,2026-07-30,recent,https://apps.apple.com/kr/app/id1535886772,4-5점_반례,8
11902854727,5,2024-11-02T03:14:45-07:00,참 목적이 좋은 앱입니다:),좋은앱,5.16.0,2026-07-30,middle,https://apps.apple.com/kr/app/id1535886772,4-5점_반례,9
11718954312,5,2024-09-13T02:23:06-07:00,취미 생활을 가져볼까 하고 모임을 찾는데 쉽지 않더라구요 그러다가 발견한 어플인데 종류별로 다양한 모임들이 있어서 편리하게 이용할 수 있었어요ㅎㅎ,너무 만족합니다 ㅎㅎ,5.14.0,2026-07-30,middle,https://apps.apple.com/kr/app/id1535886772,4-5점_반례,10
