index,decision,reason,site,source_kind,title,url
33,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dcinside,legacy,[일반]오늘 소모임 하나 새로 갓다왓는데..음악미술 소질잇는사람 귀하구나앱에서 작성,https://gall.dcinside.com/mgallery/board/view/?id=birthhatred&no=87615
34,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dcinside,legacy,[동호회]C조 승급하고 상급자 소모임 기분좋게 가입했는데,https://gall.dcinside.com/mgallery/board/view/?id=badminton&no=154965
35,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dcinside,legacy,[📕리뷰][케덕/지구평평론자 설득하기] 평평학회 모임 간 후기앱에서 작성,https://gall.dcinside.com/mgallery/board/view/?id=aichatting&no=374594
36,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dcinside,legacy,[일반]그리고 추가로모바일에서 작성,https://gall.dcinside.com/mgallery/board/view/?id=pcikup&no=8384
37,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dogdrip,legacy,slr 기사 떳다,https://www.dogdrip.net/72265289
38,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dogdrip,legacy,[약스압] SLR 여시소모임(하이드라사태) 정리.jpg,https://www.dogdrip.net/72162391
39,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,선 넘는 동호회 남사친 어떻게 생각하나요?,https://m.pann.nate.com/talk/375570693
40,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,오빠~ 나 소모임이나 동호회나가?!웅?,https://m.pann.nate.com/talk/373703166
41,keep,K01_REVIEWED_APP_EXPERIENCE,nate,legacy,소모임 어플 리뷰,https://m.pann.nate.com/talk/373199000
42,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,의처증 혹은 집착의 기준은?,https://m.pann.nate.com/talk/375518385
43,keep,K01_REVIEWED_APP_EXPERIENCE,nate,legacy,빡쳐서 소모임 개설했는데,https://m.pann.nate.com/talk/338044057
44,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,"혹시 ""소모임""이란...",https://m.pann.nate.com/talk/327762881
45,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,(인천/경기/서울) 여행 및 취미생활 소모임 모집합니다.(평일/주말 활동),https://m.pann.nate.com/talk/336769337
46,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,안녕하세요. 소모임 단톡멤버 모집해요.,https://m.pann.nate.com/talk/337103275
47,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,안녕하세요. 단톡 소모임 멤버 모집,https://m.pann.nate.com/talk/337103306
48,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,강사모 소모임 - 현황 - 23일 영화모임 -,https://m.pann.nate.com/talk/120157012
49,keep,K01_REVIEWED_APP_EXPERIENCE,nate,legacy,소모임 앱하는데 금요일날 벙개 함,https://m.pann.nate.com/talk/325529066
50,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,2013년 06월 [36.5℃ 인간의 경제학] 소모임 공지(제35회 소모임),https://m.pann.nate.com/talk/318453739
51,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,"부산,울산 단체톡 소모임~",https://m.pann.nate.com/talk/324196265
52,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,83년생부터 92년생까지 20대분들의 소모임,https://m.pann.nate.com/talk/312637900
53,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,국제앰네스티가 여러분의 소모임을 직접 찾아갑니다!,https://m.pann.nate.com/talk/113742557
54,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,소모임(동호회) 활동에 매일 참석하는 사람은 한심한걸까요 여유가 많은걸까요,https://m.pann.nate.com/talk/342739519
55,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,전남친 소모임 어플 가입햇네,https://m.pann.nate.com/talk/344578178
56,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,정모 벙개 소모임 나가면서 느낀점~!,https://m.pann.nate.com/talk/314338497
57,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,소모임 어플 강퇴됬는데 재가입안됨?,https://m.pann.nate.com/talk/330804796
58,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,SBS 예능 프로그램 대학로 '웃찾사'무료 티켓 나눔 이벤트 / 소모임 어플 톡소다,https://m.pann.nate.com/talk/336745919
59,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,1월 19일심리 소모임 공지,https://m.pann.nate.com/talk/317357276
60,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dogdrip,legacy,모쏠이 왜 계속 쏠로로 남는지 알아?,https://www.dogdrip.net/447881403
61,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dogdrip,legacy,교회 성폭행,https://www.dogdrip.net/161954294
62,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dogdrip,legacy,수원 서포터들의 폭행을 처음부터 끝까지 봤다는 펨코인,https://www.dogdrip.net/412936755
