platform,review_id,rating,review_date_utc,review_year,review_text,review_title,thumbs_up,app_version,source_url
Google Play,49a4cac8-6f9d-4a49-80e4-ece27e05540e,1,2026-07-09T08:44:45+00:00,2026,프리미엄 모임권 2개가 동시에 결제 되었습니다 이유를 알고 싶은데,,0,5.7.1,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,fc1a78c2-4cfe-41f3-b686-75c14f8321a9,2,2026-06-16T06:42:56+00:00,2026,pc와 연동이 안되어 너무 불편해요. 게시글에 동영상도 올릴수 있음 좋겠어요.. 라고 악귀가 말했어요,,0,5.6.8,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,a69dd3c4-e5d2-4596-862c-2d342e3bed3b,1,2026-06-15T11:54:16+00:00,2026,최악의 어플 이따위거를 결제하라고 하네ㅉㅉ조작인듯,,1,,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,6a82019e-0ee0-49d9-804f-9ea46ab06eea,3,2026-06-12T14:07:04+00:00,2026,내가 선택한 지역만 보여주면 좋을텐데 자꾸 인근지역이랑 서울까지 보여줘서 찾기 힘들어요 ㅠㅠ,,1,5.6.8,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,3f3ad609-d3ef-4923-a91b-0e47e25ac9c8,1,2026-06-12T11:39:52+00:00,2026,프리미엄 결제 했는데 모임노출이 안돼서 문의했더니 답변도 없고 쌩깜ㅋㅋㅋㅋ 이 앱 운영자들 배가 불러가나보네ㅋㅋㅋ 나,,1,5.6.8,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,c6a24210-018b-4743-9c71-d781742c5acb,1,2026-06-11T12:19:26+00:00,2026,모임장이나 프리미엄스폰서에게 이웃을 모임에 초대할수있는 권한을 주었으면 좋겠습니다,,1,5.6.8,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,df4ee569-d215-4718-beca-a54fbc6f3f88,3,2026-06-02T06:15:10+00:00,2026,"모임마다 낙네임을 별도로 설정할수 있게 해주세요. 모임마다 요구하는 닉넴 양식이 있는데, 일괄로만 적용되어서 너무 불편합니다.",,0,5.6.6,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,484c2550-3e50-4937-b8fb-fde43fe99636,1,2026-06-01T07:35:39+00:00,2026,에러가 나서 재설치하니 인증문자 보냈다고 뜨고 문자 안와서 로그인조차 못하고 있습니다 ㅜㅜ 이게 뭐에요!,,1,5.6.6,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,3e58e3e0-be73-4292-b849-13c9c42cfa74,1,2026-06-01T00:47:50+00:00,2026,지인 방만들어서 송파구 모임인데 강동구에서는 죽어도 검색이 안되네요 개선이 많이 필요합니다,,0,5.6.6,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,56301e34-2e2a-4244-b54b-55183b587dbd,1,2026-05-25T23:32:45+00:00,2026,잘못햐서 벙기뎔제가되엇어요 스폰서결제가되엿는데바롳결제취소는햇는데정기결제만츼소가되고 5월25일결제는취소가안되엇네요취소해주세요,,1,5.6.4,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,0157e314-a809-4af7-80df-fb9b19cc6923,1,2026-05-24T02:36:45+00:00,2026,미사용앱,,1,,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,bf6cfbf5-e828-4c4e-94a6-b8350790b95e,1,2026-05-20T06:56:26+00:00,2026,별1개도 아까운 쓰레기어플^^,,0,,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,3850e3eb-a4fe-40bd-a562-50b418eb6485,1,2026-05-18T10:32:15+00:00,2026,아니 갑자기 쓰잘데기없는 알람이 왜이렇게 많이오나요 테스트는 해보고 출시하나요? 뭔 스팸앱이 되버렸어,,0,5.6.2,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,9200d03b-f61c-4aa4-a896-bfe6e0bd340c,2,2026-04-28T13:16:54+00:00,2026,"소모임의 ‘작가영화·예술영화 상영회’를 운영하고 있습니다. 최근 ‘정모’를 생성하면 게시판에 자동으로 ‘정모 정보’ 게시글이 생성되는데, 이로 인해 일주일에 최소 2개 이상의 불필요한 게시글이 쌓이고 있습니다. 그 결과 회원들의 일반 게시글이 묻히고, 게시판 가독성이 크게 떨어져 운영에 상당한 지장이 발생하고 있습니다. 특히 이 자동 생성 게시글은 삭제할 수 없어, 운영자 입장에서는 사실상 스팸 게시물과 다름없는 상태입니다. 저희는 2주에 한 번 ‘정모 공지’ 게시글을 통해 4~8개의 모임 정보를 한 번에 안내하고 있습니다. 그러나 현재 구조에서는 공지 게시글에 단 하나의 정모만 연동할 수 있어, 운영 방식과 맞지 않습니다. 정모 생성 시 ‘게시글을 생성하지 않기’와 같은 옵션이 추가되지 않는다면, 운영 지속이 어려워 다른 플랫폼으로 이동을 고려할 수밖에 없습니다.",,3,5.5.6,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,a81aea97-e259-4ae5-830d-353d99754b64,1,2026-04-27T12:51:01+00:00,2026,정모 게시글 삭제 되게 해주세요,,2,5.5.2,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
