total_reviews,average_rating,rating_1_count,rating_1_share,low_1_3_count,low_1_3_share,low_share_ci95_low,low_share_ci95_high,high_4_5_count,high_4_5_share,year
199,3.884,34,0.1709,56,0.2814,0.2235,0.3476,143,0.7186,2021
525,4.198,69,0.1314,109,0.2076,0.1751,0.2444,416,0.7924,2022
261,3.989,40,0.1533,73,0.2797,0.2287,0.337,188,0.7203,2023
66,3.394,18,0.2727,27,0.4091,0.2987,0.5295,39,0.5909,2024
77,3.026,28,0.3636,42,0.5455,0.4347,0.6519,35,0.4545,2025
72,3.333,22,0.3056,34,0.4722,0.3613,0.586,38,0.5278,2026
