participant_id,interview_date,minutes,service_experience,last_used_period,current_status,original_goal,recruitment_channel,notes_consent,recording_consent,anonymized,interviewer,session_status,notes
H01,2026-07-30 17:20,10,동행클럽,,,,부트캠프 동료,Y,Y,Y,최명하,completed,"ZEP 화상 인터뷰, 녹음 동의·녹화 없음"
U01,2026-07-30 17:35,10,당근,,,,부트캠프 동료,Y,Y,Y,최명하,completed,"ZEP 화상 인터뷰, 녹음 동의·녹화 없음"
HU01,2026-07-31 09:00,15,"문토, 소모임, 당근",,,,부트캠프 동료,Y,Y,Y,최명하,completed,"ZEP 화상 인터뷰, 녹음 동의·녹화 없음"
U02,2026-07-31 09:30,10,Meetup,,,,부트캠프 동료,Y,Y,Y,최명하,completed,"ZEP 화상 인터뷰, 녹음 동의·녹화 없음"
HU02,2026-07-31 09:50,20,"Meetup, 당근",,,,부트캠프 동료,Y,Y,Y,최명하,completed,"ZEP 화상 인터뷰, 녹음 동의·녹화 없음"
U03,2026-07-31 15:00,5,에브리타임,,,"우쿨렐레 활동·향후 자기계발 모임 탐색",,Y,Y,Y,최명하,completed,"ZEP 화상 인터뷰, 녹음 동의·녹화 없음"
U04,2026-07-31 15:35,5,"유료 영어 스터디, 컬컴 파티",,stopped,"영어 실력 향상·외국인 교류",,Y,Y,Y,최명하,completed,"ZEP 화상 인터뷰, 녹음 동의·녹화 없음"
